,postId,age,gender,education,estimate,estimateVal,rrp,p,time,sheet_no,x1,x2,lotterychoice
42,khy4qqfv,46.0,Female,College,verbatim,10,-4.25,0.1,2000,sheet0,50,0,10b
43,khy2u635,38.0,Male,College,gist,about_even,-0.016666666666666666,0.5,2000,sheet0,20,10,10b
44,khy2w6zl,26.0,Female,High school,gist,about_even,0.15,0.5,2000,sheet0,50,0,12b
45,khy5uiv8,29.0,Female,Graduate school,gist,highly_likely,0.1588235294117647,0.75,unlimited,sheet0,50,20,10b
46,khy58m0q,25.0,Female,College,gist,highly_unlikely,-0.29545454545454547,0.1,500,sheet0,20,10,12b
47,khy3jqc3,35.0,Male,College,default,none,-2.3,0.25,2000,sheet0,20,0,4b
48,khy367pr,30.0,Female,Professional school,default,none,-0.75,0.1,1000,sheet0,10,0,17b
49,khy2m0v2,20.0,Male,Graduate school,verbatim,27,-0.04285714285714286,0.25,500,sheet0,40,10,15b
50,khy2my69,34.0,Female,College,verbatim,50,-0.25,0.5,500,sheet0,10,0,8b
51,khy3vqa7,48.0,Male,College,gist,likely,0.3,0.75,1000,sheet0,20,0,0a
52,khy54wrh,36.0,Female,High school,gist,highly_unlikely,-0.3181818181818182,0.05,2000,sheet0,150,50,16b
53,khy2zjme,26.0,Female,College,gist,about_even,0.09,0.5,unlimited,sheet0,40,10,12b
54,khy34cl0,34.0,Male,Graduate school,gist,highly_unlikely,-0.25,0.1,unlimited,sheet0,10,0,18b
55,khy48dl9,44.0,Male,College,gist,highly_likely,0.039473684210526314,0.9,2000,sheet0,20,10,4b
56,khy3aeek,28.0,Female,College,default,none,0.23195876288659795,0.95,1000,sheet0,50,20,9b
57,khy2mw5t,25.0,Female,High school,gist,unlikely,-0.13636363636363635,0.25,1000,sheet0,50,20,13a
58,khy2mzh9,39.0,Male,High school,default,none,0.34615384615384615,0.75,500,sheet0,40,10,13a
59,khy3ga80,35.0,Male,College,verbatim,35,-4.25,0.1,2000,sheet0,50,0,10b
60,khy38016,42.0,Female,High school,default,none,-0.15,0.5,2000,sheet0,50,20,7a
61,khy3um1b,35.0,Male,College,default,none,-14.5,0.05,500,sheet0,20,0,5b
62,khy2moht,33.0,Male,College,verbatim,5,-0.03488372093023256,0.05,unlimited,sheet0,50,20,19b
63,khy2ml6i,40.0,Male,College,gist,highly_likely,0.4166666666666667,0.9,2000,sheet0,50,0,0a
64,khy37jd2,31.0,Female,College,gist,likely,0.65,0.5,500,sheet0,150,0,17a
65,khy4w4g2,44.0,Female,High school,verbatim,45,0.3556701030927835,0.95,2000,sheet0,50,20,13b
66,khyas8ne,33.0,Male,High school,default,none,-1.25,0.1,2000,sheet0,10,0,16b
67,khy849h4,47.0,Male,Professional school,default,none,-0.4090909090909091,0.05,1000,sheet0,150,50,15b
68,khy385l4,36.0,Male,Graduate school,verbatim,20,-0.4714285714285714,0.25,1000,sheet0,40,10,10b
69,khy2q0o3,50.0,Male,College,default,none,0.11666666666666667,0.5,unlimited,sheet0,20,10,14b
70,khy6o7oc,48.0,Female,College,verbatim,10,-4.75,0.1,500,sheet0,10,0,9b
71,khy34yzb,37.0,Female,College,default,none,0.13917525773195877,0.95,1000,sheet0,50,20,6b
72,khy2mhyj,26.0,Male,College,verbatim,10,0.25,0.1,500,sheet0,50,0,19b
73,khy2mtrp,22.0,Female,High school,gist,almost_certain,0.33116883116883117,0.95,1000,sheet0,40,10,0b
74,khy2mfez,31.0,Male,Graduate school,gist,highly_unlikely,-0.8636363636363636,0.05,500,sheet0,150,50,0a
75,khy35qjp,29.0,Male,High school,gist,likely,0.4764705882352941,0.75,2000,sheet0,50,20,19b
76,khy2o6mx,36.0,Male,College,verbatim,100,-0.19285714285714287,0.5,500,sheet0,50,20,6b
77,khy6p7nn,25.0,Male,College,default,none,-0.045454545454545456,0.05,unlimited,sheet0,150,50,19b
78,khy2uiiq,37.0,Male,College,default,none,-0.027777777777777776,0.9,1000,sheet0,10,0,2b
79,khy2sn1w,44.0,Male,College,gist,about_even,-0.19090909090909092,0.25,2000,sheet0,50,20,12b
80,khy2sltc,47.0,Female,High school,default,none,-9.5,0.05,1000,sheet0,20,0,10b
81,khy56hfv,55.0,Male,College,gist,highly_unlikely,0.022727272727272728,0.1,unlimited,sheet0,20,10,19b
82,khy2n5hp,65.0,Female,Graduate school,verbatim,50,-0.95,0.5,500,sheet0,10,0,1a
83,khy3ar6u,28.0,Male,College,gist,highly_unlikely,-0.19090909090909092,0.25,1000,sheet0,50,20,12a
84,khy5ukma,36.0,Female,College,default,none,0.564935064935065,0.95,1000,sheet0,40,10,16b
85,khy2p6hw,34.0,Male,High school,default,none,0.75,0.9,unlimited,sheet0,50,0,16a
86,khy2m6wb,39.0,Male,Graduate school,default,none,-0.5681818181818182,0.1,2000,sheet0,20,10,6b
87,khy2rewd,23.0,Female,College,verbatim,90,0.4166666666666667,0.9,unlimited,sheet0,10,0,0a
88,khy306ok,37.0,Male,College,gist,highly_unlikely,-0.5,0.05,2000,sheet0,150,50,14b
89,khy4jmrc,33.0,Male,College,gist,unlikely,-0.10465116279069768,0.05,500,sheet0,50,20,18b
90,khy2rk86,58.0,Male,High school,verbatim,95,0.33116883116883117,0.95,500,sheet0,40,10,0b
91,khyancum,30.0,Male,College,gist,likely,0.5666666666666667,0.75,unlimited,sheet0,20,0,14b
92,khy2my2d,26.0,Male,College,gist,unlikely,-4.25,0.1,1000,sheet0,50,0,10b
93,khy2na2n,33.0,Female,College,verbatim,50,-0.01764705882352941,0.75,2000,sheet0,50,20,5b
94,khy3rgt8,62.0,Female,Professional school,gist,about_even,-0.05,0.5,2000,sheet0,10,0,10b
95,khy2oi7x,29.0,Female,College,gist,highly_unlikely,-1.25,0.1,unlimited,sheet0,10,0,16b
96,khy2ntg1,30.0,Male,Graduate school,verbatim,5,-1.2906976744186047,0.05,unlimited,sheet0,50,20,1a
97,khy31x1n,40.0,Male,College,verbatim,25,-0.38571428571428573,0.25,2000,sheet0,40,10,11b
98,khy2o3fx,31.0,Male,Graduate school,verbatim,90,0.09740259740259741,0.95,2000,sheet0,40,10,4b
99,khy2mvnv,63.0,Female,College,gist,almost_certain,0.1388888888888889,0.9,unlimited,sheet0,50,0,5a
100,khy3636y,58.0,Female,High school,verbatim,25,0.19090909090909092,0.25,unlimited,sheet0,50,20,19b
101,khy58ztk,48.0,Male,High school,gist,almost_certain,0.33116883116883117,0.95,unlimited,sheet0,40,10,0b
102,khy2rfwe,31.0,Male,High school,default,none,0.25,0.5,unlimited,sheet0,150,0,13b
103,khy383hf,21.0,Male,Graduate school,default,none,0.2357142857142857,0.5,500,sheet0,50,20,16b
104,khy2n8uf,27.0,Male,Professional school,default,none,0.11842105263157894,0.9,unlimited,sheet0,20,10,7a
105,khy2m9bn,21.0,Female,High school,default,none,-3.25,0.1,unlimited,sheet0,50,0,12b
106,khy3vzzj,28.0,Male,College,verbatim,10,-1.25,0.1,1000,sheet0,10,0,16b
107,khy2tiao,27.0,Female,Graduate school,gist,no_chance,-1.891304347826087,0.05,2000,sheet0,40,10,5a
108,khy2mv50,31.0,Male,Graduate school,gist,highly_likely,-1.2391304347826086,0.05,500,sheet0,40,10,0a
109,khy2p2v4,44.0,Male,College,default,none,-0.05,0.5,2000,sheet0,50,0,10b
110,khy3r6n4,48.0,Female,College,verbatim,1,-0.06521739130434782,0.05,unlimited,sheet0,40,10,19b
111,khy4f6lz,24.0,Female,College,gist,unlikely,-0.12857142857142856,0.25,unlimited,sheet0,40,10,14b
112,khy2mpww,30.0,Male,Graduate school,default,none,0.02631578947368421,0.95,1000,sheet0,20,0,2b
113,khy2nohu,25.0,Male,College,default,none,0.4166666666666667,0.9,2000,sheet0,10,0,10b
114,khy57bqk,33.0,Male,Graduate school,default,none,-0.027777777777777776,0.9,2000,sheet0,10,0,2b
115,khy3x571,41.0,Male,College,default,none,-0.01948051948051948,0.95,2000,sheet0,40,10,1b
116,khy2nejt,28.0,Male,Professional school,default,none,0.16666666666666666,0.75,1000,sheet0,20,0,8a
117,khy31afm,27.0,Male,Post-doctoral,default,none,-0.32608695652173914,0.05,1000,sheet0,40,10,17b
118,khy9r3zq,30.0,Male,Graduate school,gist,almost_certain,-0.016666666666666666,0.5,2000,sheet0,20,10,0b
119,khy2pgp6,42.0,Male,High school,gist,unlikely,-0.4714285714285714,0.25,2000,sheet0,40,10,10b
120,khy2s5tu,32.0,Female,Unspecified,default,none,-1.891304347826087,0.05,unlimited,sheet0,40,10,5b
121,khy2mxpi,37.0,Male,College,gist,likely,0.16153846153846155,0.75,1000,sheet0,40,10,9b
122,khy2ni4b,33.0,Female,College,gist,almost_certain,-0.4772727272727273,0.1,unlimited,sheet0,20,10,8a
123,khy4mk5y,64.0,Male,College,gist,about_even,-0.55,0.5,1000,sheet0,150,0,5b
124,khy2nygu,49.0,Female,College,gist,about_even,0.05,0.5,500,sheet0,50,0,11a
125,khy3fmft,38.0,Male,College,default,none,-0.7285714285714285,0.25,1000,sheet0,40,10,7a
126,khy2oepn,32.0,Male,High school,verbatim,75,-0.11538461538461539,0.75,1000,sheet0,40,10,3a
127,khy2mg0h,36.0,Female,College,verbatim,20,-0.13636363636363635,0.25,500,sheet0,50,20,13b
128,khy55r22,49.0,Female,Graduate school,verbatim,75,0.2076923076923077,0.75,unlimited,sheet0,40,10,10b
129,khy45wvk,34.0,Male,High school,gist,about_even,-0.65,0.5,2000,sheet0,10,0,4b
130,khy2srsa,35.0,Male,College,default,none,-1.1,0.25,1000,sheet0,20,0,10b
131,khy42in1,26.0,Male,College,verbatim,25,-0.04285714285714286,0.25,unlimited,sheet0,40,10,15a
132,khy57ru4,22.0,Male,Graduate school,default,none,-0.9418604651162791,0.05,500,sheet0,50,20,6a
133,khwg3b3s,33.0,Female,College,gist,likely,-1.1363636363636365,0.05,2000,sheet0,150,50,7b
134,khy54uzk,39.0,Male,College,verbatim,75,-0.06923076923076923,0.75,unlimited,sheet0,40,10,4a
135,khy3w886,32.0,Male,Graduate school,verbatim,95,0.26288659793814434,0.95,unlimited,sheet0,50,20,0b
136,khy384ps,46.0,Male,High school,gist,no_chance,-0.25,0.1,2000,sheet0,50,0,18b
137,khy2mzho,42.0,Male,College,verbatim,50,0.85,0.5,500,sheet0,150,0,19b
138,khy3c9qg,42.0,Male,Graduate school,gist,highly_likely,0.19736842105263158,0.9,2000,sheet0,20,10,10b
139,khy2uzkj,54.0,Female,College,gist,unlikely,-0.8636363636363636,0.05,1000,sheet0,150,50,10b
140,khy57tc2,32.0,Male,College,gist,about_even,-0.05,0.5,1000,sheet0,150,0,10b
141,khy5bin6,49.0,Male,College,default,none,0.4722222222222222,0.9,1000,sheet0,10,0,11a
142,khy3anq9,30.0,Female,College,verbatim,50,-0.02142857142857143,0.5,500,sheet0,50,20,0b
143,khy31qu3,61.0,Male,High school,gist,likely,-0.03333333333333333,0.75,500,sheet0,20,0,5a
144,khy353oa,32.0,Female,College,verbatim,20,0.2076923076923077,0.75,1000,sheet0,40,10,0b
145,khy2zux1,61.0,Male,High school,gist,highly_likely,0.06923076923076923,0.75,1000,sheet0,40,10,7a
146,khy2uj6v,28.0,Male,College,default,none,-0.65,0.5,unlimited,sheet0,50,0,4b
147,khy4ajz3,27.0,Male,College,gist,about_even,0.25,0.5,2000,sheet0,50,0,13b
148,khy30rl1,35.0,Male,College,verbatim,0-1000,0.4166666666666667,0.9,unlimited,sheet0,10,0,0b
149,khy2mvea,48.0,Male,College,gist,about_even,-0.40714285714285714,0.5,2000,sheet0,50,20,1a
150,khy2ml4r,27.0,Male,College,default,none,0.34615384615384615,0.75,unlimited,sheet0,40,10,13a
151,khy2s58o,39.0,Male,College,verbatim,50,-0.03,0.5,1000,sheet0,40,10,10b
152,khy2udjr,59.0,Male,College,verbatim,95,0.07894736842105263,0.95,2000,sheet0,20,0,3b
153,khy310tt,35.0,Male,Professional school,default,none,0.22941176470588234,0.75,2000,sheet0,50,20,12b
154,khy7n3a3,21.0,Male,High school,verbatim,100,0.19090909090909092,0.25,500,sheet0,50,20,19b
155,khy3j2di,24.0,Unspecified,College,verbatim,50,0.25,0.5,unlimited,sheet0,20,10,18b
156,khy2uxf3,27.0,Male,High school,verbatim,10,-0.21428571428571427,0.25,2000,sheet0,40,10,13b
157,khy3ch00,30.0,Female,Ph.D,verbatim,50,-0.65,0.5,500,sheet0,50,0,4a
158,khy2t47c,34.0,Male,High school,gist,unlikely,0.15,0.5,500,sheet0,50,0,12b
159,khy31bcd,54.0,Male,Graduate school,verbatim,25,-0.3,0.25,unlimited,sheet0,20,0,14b
160,khy2nlst,64.0,Male,College,gist,highly_likely,0.14473684210526316,0.9,2000,sheet0,20,10,8b
161,khy2vglo,28.0,Male,Graduate school,verbatim,100,-0.05,0.5,unlimited,sheet0,150,0,0b
162,khy2n5fd,45.0,Male,College,gist,about_even,0.03,0.5,500,sheet0,40,10,11a
163,khy5i57j,48.0,Male,College,default,none,-0.023076923076923078,0.75,unlimited,sheet0,40,10,5b
164,khy3px2i,26.0,Male,Graduate school,verbatim,10,-0.75,0.1,unlimited,sheet0,10,0,17b
165,khy3hhrz,49.0,Female,College,gist,likely,0.6333333333333333,0.75,500,sheet0,20,0,15b
166,khy2oifc,59.0,Female,High school,gist,highly_likely,0.027777777777777776,0.9,500,sheet0,50,0,3b
167,khy2uvb5,46.0,Female,College,verbatim,50,-0.4090909090909091,0.25,500,sheet0,50,20,8b
168,khy5ez7b,28.0,Male,College,verbatim,20,-0.21428571428571427,0.25,1000,sheet0,40,10,13b
169,khy38per,37.0,Female,High school,default,none,-0.016666666666666666,0.5,2000,sheet0,20,10,0a
170,khy2n2hh,47.0,Male,Ph.D,default,none,-1.25,0.1,unlimited,sheet0,50,0,16b
171,khy3yock,44.0,Male,College,verbatim,50,0.13917525773195877,0.95,2000,sheet0,50,20,6b
172,khy30w1l,39.0,Male,College,default,none,0.02727272727272727,0.25,unlimited,sheet0,50,20,16b
173,khy3fms6,46.0,Male,High school,gist,highly_unlikely,-4.5,0.05,1000,sheet0,20,0,15b
174,khy3u3sq,65.0,Male,Graduate school,gist,likely,-0.65,0.5,2000,sheet0,50,0,4b
175,khy2m7b1,36.0,Female,College,default,none,0.25,0.5,2000,sheet0,150,0,13b
176,khy47uh4,29.0,Female,College,gist,highly_unlikely,-0.75,0.1,unlimited,sheet0,10,0,17a
177,khy81pyy,30.0,Male,College,verbatim,50,0.1388888888888889,0.9,2000,sheet0,10,0,5b
178,khy2ns0j,30.0,Male,Professional school,gist,about_even,-1.2391304347826086,0.05,2000,sheet0,40,10,0b
179,khy2ny1v,34.0,Female,High school,default,none,0.33116883116883117,0.95,500,sheet0,40,10,0b
180,khy3ndcy,32.0,Male,Professional school,verbatim,90,0.11842105263157894,0.9,1000,sheet0,20,10,7b
181,khy2wlyb,40.0,Male,College,default,none,0.13917525773195877,0.95,1000,sheet0,50,20,6b
182,khy2mbu3,23.0,Male,Graduate school,default,none,0.052941176470588235,0.75,2000,sheet0,50,20,7b
183,khy45rug,33.0,Male,Professional school,gist,highly_unlikely,-0.12857142857142856,0.25,2000,sheet0,40,10,14b
184,khy2q0md,41.0,Female,College,gist,no_chance,0.022727272727272728,0.1,unlimited,sheet0,20,10,19b
185,khy2xm4i,23.0,Male,College,gist,about_even,-0.05,0.5,unlimited,sheet0,50,0,10b
186,khy56der,44.0,Female,High school,gist,about_even,-0.03,0.5,1000,sheet0,40,10,0b
187,khy32put,35.0,Male,College,default,none,-0.016666666666666666,0.5,2000,sheet0,20,10,10b
188,khy2p2sl,25.0,Male,Graduate school,default,none,-1.0813953488372092,0.05,unlimited,sheet0,50,20,4b
189,khy5dsr0,44.0,Female,Graduate school,verbatim,78,0.03333333333333333,0.75,500,sheet0,20,0,6a
190,khy2t55a,34.0,Male,College,verbatim,50,0.2833333333333333,0.5,unlimited,sheet0,20,10,19b
191,khy3t7gv,34.0,Male,High school,gist,about_even,-0.05,0.5,500,sheet0,20,10,9b
192,khy5wmfh,46.0,Male,College,gist,about_even,-0.02142857142857143,0.5,2000,sheet0,50,20,10b
193,khy3im1c,37.0,Male,College,default,none,-0.13636363636363635,0.25,2000,sheet0,50,20,13b
194,khy2msu7,34.0,Male,Graduate school,verbatim,96,0.07731958762886598,0.95,1000,sheet0,50,20,4b
195,khy2o46d,27.0,Masculino,Faculdade,default,none,-0.8636363636363636,0.05,1000,sheet0,150,50,0b
196,khy30n4i,53.0,Female,Professional school,default,none,-0.3409090909090909,0.1,2000,sheet0,20,10,11b
197,khy57cmr,26.0,Female,College,verbatim,50,-1.1,0.25,2000,sheet0,20,0,10b
198,khy38enf,53.0,Female,Professional school,verbatim,10,0.022727272727272728,0.1,1000,sheet0,20,10,19b
199,khy3izql,37.0,Female,College,default,none,0.23333333333333334,0.75,2000,sheet0,20,0,9b
200,khy31jpt,32.0,Male,College,default,none,-0.05,0.5,2000,sheet0,150,0,0b
201,khy2nyv1,34.0,Male,High school,verbatim,50,0.36428571428571427,0.5,1000,sheet0,50,20,19b
202,khy2misr,26.0,Male,College,gist,highly_unlikely,-0.5,0.05,2000,sheet0,150,50,14b
203,khy2mvss,38.0,Male,College,default,none,0.4342105263157895,0.9,1000,sheet0,20,10,19b
204,khy2mz8g,29.0,Male,High school,verbatim,20,0.7,0.25,500,sheet0,20,0,19b
205,khy2mw5x,28.0,Female,Professional school,gist,highly_likely,0.02631578947368421,0.95,2000,sheet0,20,0,2b
206,khy2sclh,33.0,Male,High school,verbatim,8,-0.7727272727272727,0.05,2000,sheet0,150,50,11b
207,khy557io,22.0,Masculino,Faculdade,gist,almost_certain,0.4473684210526316,0.95,unlimited,sheet0,20,0,0a
208,khy2npgv,28.0,Male,High school,verbatim,50,-0.15,0.5,1000,sheet0,10,0,9b
209,khy2oj1q,41.0,Male,College,verbatim,60,0.01764705882352941,0.75,1000,sheet0,50,20,6b
210,khy4fg3z,25.0,Male,Graduate school,gist,almost_certain,-0.55,0.5,500,sheet0,50,0,5a
211,khy57oqr,30.0,Male,College,verbatim,50,-0.06428571428571428,0.5,1000,sheet0,50,20,9b
212,khy2q0z6,59.0,Male,High school,default,none,0.022727272727272728,0.1,1000,sheet0,20,10,19b
213,khy2of5e,36.0,Male,High school,verbatim,10,-1.25,0.1,500,sheet0,50,0,16a
214,khy2qrix,21.0,Female,Graduate school,verbatim,10,0.4166666666666667,0.9,1000,sheet0,50,0,0b
215,khy2wiac,29.0,Female,High school,gist,highly_likely,0.33116883116883117,0.95,2000,sheet0,40,10,0b
216,khy3lvsp,35.0,Female,College,verbatim,65,0.01764705882352941,0.75,unlimited,sheet0,50,20,6b
217,khy2ne7f,27.0,Female,High school,default,none,-0.25,0.5,unlimited,sheet0,50,0,8b
218,khy57ui3,32.0,Female,College,default,,-0.06521739130434782,0.05,unlimited,sheet0,40,10,19b
219,khy2nm2c,23.0,Male,Graduate school,verbatim,50,-0.05,0.5,1000,sheet0,10,0,10b
220,khy2n5e1,54.0,Female,High school,default,none,-0.13636363636363635,0.25,2000,sheet0,50,20,13b
221,khy2ruf4,37.0,Female,High school,gist,about_even,-0.05,0.5,1000,sheet0,10,0,10b
222,khy2xmq3,27.0,Masculino,Faculdade,verbatim,50,0.03,0.5,2000,sheet0,40,10,11b
223,khy2mptv,37.0,Male,College,verbatim,74,-0.03333333333333333,0.75,500,sheet0,20,0,5b
224,khy5716g,46.0,Female,College,gist,almost_certain,0.4166666666666667,0.9,2000,sheet0,50,0,0b
225,khy4uy94,25.0,Male,College,verbatim,90,0.08333333333333333,0.9,unlimited,sheet0,10,0,4b
226,khy55icw,46.0,Female,College,verbatim,80,-0.06923076923076923,0.75,500,sheet0,40,10,4b
227,khy361ed,33.0,Male,College,gist,about_even,-0.25,0.5,1000,sheet0,50,0,8b
228,khy2msr0,38.0,Male,College,verbatim,10,0.25,0.1,unlimited,sheet0,50,0,19b
229,khy303f5,27.0,Male,High school,gist,about_even,-0.15,0.5,1000,sheet0,40,10,8b
230,khy3lguj,29.0,Male,College,default,none,-0.03333333333333333,0.75,unlimited,sheet0,20,0,5a
231,khy33e7p,35.0,Male,College,default,none,0.17105263157894737,0.9,unlimited,sheet0,20,10,9b
232,khy2n0jg,38.0,Male,College,default,none,-0.10465116279069768,0.05,2000,sheet0,50,20,18b
233,khy2mzcc,30.0,Male,College,verbatim,50,0.26288659793814434,0.95,1000,sheet0,50,20,10b
234,khy2tkna,33.0,Male,High school,gist,highly_unlikely,-0.6627906976744186,0.05,1000,sheet0,50,20,0b
235,khy3dshl,29.0,Female,Post-doctoral,verbatim,95,0.23684210526315788,0.95,unlimited,sheet0,20,0,6b
236,khy2nkg7,26.0,Male,College,verbatim,5,-0.03488372093023256,0.05,500,sheet0,50,20,19b
237,khy2q9x1,23.0,Female,College,default,none,0.21428571428571427,0.25,unlimited,sheet0,40,10,18b
238,khy2or1n,28.0,Male,College,default,none,0.26288659793814434,0.95,unlimited,sheet0,50,20,0b
239,khy2vbbb,29.0,Male,Post-doctoral,gist,likely,0.10824742268041238,0.95,unlimited,sheet0,50,20,5b
240,khy57a5b,47.0,Male,College,gist,highly_likely,0.13636363636363635,0.95,500,sheet0,40,10,5b
241,khy33dhy,26.0,Male,College,verbatim,95,-0.01948051948051948,0.95,2000,sheet0,40,10,1b
242,khy4ytk9,31.0,Male,College,verbatim,15,-0.22727272727272727,0.05,2000,sheet0,150,50,17b
243,khy5mnru,40.0,Female,College,gist,highly_unlikely,-0.045454545454545456,0.05,unlimited,sheet0,150,50,19b
244,khy64hhs,39.0,Male,College,verbatim,5,-0.03488372093023256,0.05,unlimited,sheet0,50,20,19b
245,khy2okzp,27.0,Male,Post-doctoral,default,none,-0.4090909090909091,0.05,1000,sheet0,150,50,15a
246,khy3t4fh,31.0,Male,Graduate school,verbatim,90,0.33116883116883117,0.95,2000,sheet0,40,10,0a
247,khy3qx56,38.0,Male,College,gist,no_chance,-0.045454545454545456,0.05,2000,sheet0,150,50,19b
248,khy5nfdh,58.0,Female,Graduate school,gist,about_even,-0.45,0.5,500,sheet0,10,0,6b
249,khy2ufcf,30.0,Male,Graduate school,default,none,-1.2391304347826086,0.05,500,sheet0,40,10,0b
250,khy2tj09,44.0,Female,High school,default,none,0.10714285714285714,0.5,500,sheet0,50,20,13a
251,khy2ylw0,37.0,Male,College,default,none,0.13636363636363635,0.25,2000,sheet0,50,20,18a
252,khy2zd6q,43.0,Male,College,default,none,-3.5,0.05,2000,sheet0,20,0,16a
253,khy2uysv,34.0,Female,College,default,none,0.08181818181818182,0.25,2000,sheet0,50,20,17b
254,khy5ottw,37.0,Male,College,gist,highly_unlikely,-3.5,0.05,unlimited,sheet0,20,0,16b
255,khy3x71w,28.0,Male,Ph.D,verbatim,60,-1.0454545454545454,0.05,unlimited,sheet0,150,50,8b
256,khy3cvw6,38.0,Female,Graduate school,verbatim,80,-0.03333333333333333,0.75,500,sheet0,20,0,5b
257,khy2nf9l,38.0,Female,Professional school,verbatim,5,-1.891304347826087,0.05,1000,sheet0,40,10,5a
258,khy34se1,51.0,Female,College,gist,likely,-0.35,0.5,500,sheet0,10,0,7a
259,khy554ri,34.0,Male,High school,gist,almost_certain,-0.08333333333333333,0.9,1000,sheet0,10,0,1a
